Title,Year,Rated,Released,Runtime,Plot,Poster,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
He Who Rides a Tiger,1965,N/A,01 Oct 1965,103 min,"Peter Rayston (Tom Bell), has been in and out of prison most of his life. At thirty-years-old, he is released for the eighth time, after serving a sentence for housebreaking. Immediately, he goes back to his old life, providing for his expensive tastes by executing a series of daring burglaries.",https://m.media-amazon.com/images/M/MV5BMmIzY2M1NzctMmNmNS00MTgwLWI5M2EtZmE1MTVkOTFlNWI4XkEyXkFqcGc@._V1_SX300.jpg,N/A,7.0,111,tt0060492,N/A
Johnny Tiger,1966,N/A,15 Jun 1966,102 min,A widowed schoolteacher arrives at a Seminole Reservation in the Florida Everglades with his three children. He's determined to bring these Indians into the modern world but his contempt for their ways meets with resistance.,https://m.media-amazon.com/images/M/MV5BNzY5OTRiMjQtMWNkYi00NzgzLWI4YzctYjA4YzAwMjVmZDM4XkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_SX300.jpg,N/A,6.9,78,tt0060565,N/A
Black Girl,1966,Not Rated,17 Mar 1966,65 min,"A Senegalese woman is eager to find a better life abroad. She takes a job as a governess for a French family, but finds her duties reduced to those of a maid after the family moves from Dakar to the south of France. In her new country, the woman is constantly made aware of her race and mistreated by her employers. Her hope for better times turns to disillusionment and she falls into isolation and despair. The harsh treatment leads her to consider suicide the only way out.",https://m.media-amazon.com/images/M/MV5BNGU2MTgxODYtZTA1Yi00ZDI5LWFkMzktNWIwYTkxMzA5ZGM5XkEyXkFqcGc@._V1_SX300.jpg,72,7.4,"6,363",tt0060758,N/A
Our Agent Tiger,1965,N/A,05 Nov 1965,85 min,"Louis Rapiere, aka Tiger, is sent to Port-a-Pitre (French Guiana), to supervise the recovery of a treasure from a sunken ship. A group of revolutionaries pirates the ship and steals the treasure, intending to sell it to an international terrorist organization called Orchid. When Tiger arrives there, he demands that the French authorities arrest the revolutionaries, but the police, trying to prevent a general strike, do nothing. Tiger finds himself acting alone in a paralyzed territory--as the revolutionaries incite the people to the general strike anyway--and competing against American, Russian, and German spies. Everybody is very interested in the treasure, a rare mineral with tremendous impact on arms development, now about to fall into the Orchid's clutches.",https://m.media-amazon.com/images/M/MV5BN2RjZThiYTUtMjczYS00NWYyLTkxMzQtMzVkMzc0NzQ1MDk5XkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_SX300.jpg,N/A,4.4,211,tt0061095,N/A
"What's Up, Tiger Lily?",1966,PG,02 Nov 1966,80 min,"Writer/director Woody Allen explains that when he was asked to supervise the making of the definitive spy thriller, what he decided to do was acquire the rights to a B-grade Japanese spy caper (Kokusai himitsu keisatsu: Kagi no kagi (1965)) filmed with Japanese actors in Japanese, delete the existing soundtrack, and redub into English and reorder select scenes to create an entirely new movie, a comedy, having nothing to do with the original story-line. The result... International spy Phil Moscowitz, working out of the Asia bureau, is a self-professed lovable rogue with sex always on his mind. He inadvertently gets involved in a mission, the client the Grand Exalted High Majah of Raspur. The success of the mission will determine if Raspur, a non-existent country that nonetheless sounds real, will indeed become real. Moscowitz is to retrieve something stolen from the Majah by criminal Shepherd Wong: the best ever egg salad recipe. Phil is to be assisted by two of the Majah's own agents, sisters Teri and Suki Yaki, the latter a recent prison escapee. The mission becomes more difficult when they learn that Shepherd is an egg salad junkie who will do anything to keep the recipe. The mission gets even more complicated when they also learn that they are in competition to retrieve the recipe by Wing Fat, another criminal who plans to steal the recipe then sell it back to addicted Shepherd. The success or failure of the mission for Phil and the Yaki sisters may be dependent if they receive the extra help needed from the audience and the projectionist at the cinemas where the movie is playing.",https://m.media-amazon.com/images/M/MV5BYThmYmVkMTAtM2RmMC00YTYyLWJiNWEtY2E4ZTgwNjUwYzc1XkEyXkFqcGc@._V1_SX300.jpg,63,5.8,"10,083",tt0061177,N/A
The Tiger Makes Out,1967,Approved,16 Mar 1970,94 min,"Ben Harris, an embittered, middle-aged New York City postal worker living in a Greenwich Village basement, becomes obsessed with the idea of kidnapping and enslaving the first beautiful young woman he can get his hands on. When he tries to carry out his plan, he doesn't count on suburban homemaker Gloria getting in the way.",https://m.media-amazon.com/images/M/MV5BZjdiOTNiYWUtMzAwZS00MGE3LWI2ZTQtYmQyZjA1NzExZDQxXkEyXkFqcGdeQXVyNDcxNDkxMjA@._V1_SX300.jpg,N/A,5.8,342,tt0062369,N/A
The Tiger and the Pussycat,1967,N/A,29 Apr 1967,110 min,"Comedy-drama about a middle-aged Italian businessman Vittorio Gassman who is married to Eleanor Parker and is innocently introduced one day to a schoolgirl with pigtails named Carolina. Years later, the schoolgirl has become a promiscuous young woman (Ann-Margret) and she pursues him and sucks him into an on-again-off-again romantic tryst where she pulls the strings. ""Kitten with a Whip - Italian Style!""",https://m.media-amazon.com/images/M/MV5BMjA0ODBhMGMtMmE0ZS00ZTdlLThkODItNTE4NGFmYWE1NzdmXkEyXkFqcGdeQXVyMjIyMDk1Nzg@._V1_SX300.jpg,N/A,6.3,467,tt0062370,N/A
"To Sir, with Love",1967,Approved,14 Jun 1967,105 min,Idealistic engineer-trainee and his experiences in teaching a group of rambunctious white high school students from the slums of London's East End.,https://m.media-amazon.com/images/M/MV5BOTM4NmM3ZmUtZDEyNC00NTE1LWI4ZDktNTNhYWM2ZTJmYzM1XkEyXkFqcGc@._V1_SX300.jpg,55,7.6,"21,052",tt0062376,N/A
Wait Until Dark,1967,Approved,26 Oct 1967,108 min,"Susy was recently blinded and recently married. Susy's husband, Sam, is asked to hold a doll for a woman he doesn't know as they get off an airplane. The woman disappears. Later, she's found dead by her former associates, Mike and Carlino, small-time hoods, in Susy's basement apartment. (Both occupants of the apartment are then absent.) The doll woman's newer partner in crime, Harry Rote, who murdered her for self-dealing, presses Mike and Carlino into a scheme to recover the doll, which contains a fortune in smuggled heroin. After disposing of the body, the thugs return while Susy is present to continue their search. They assume Susy's blindness will enable them to search her apartment under her very nose for the doll. In Sam's absence, Mike pretends to be an old friend of Sam's, while the three together spin for Susy a story of a murder investigation of her husband from which only the finding of the missing doll can save him. Rote is a predator, and his stalking of Susy becomes ever more obvious as the blind woman's predicament becomes ever more desperate.",https://m.media-amazon.com/images/M/MV5BMjJiMDRjNWUtZTVhYS00YTU5LWI2OTktZWI4YzY2YjY1MTc5XkEyXkFqcGc@._V1_SX300.jpg,81,7.7,"34,554",tt0062467,N/A
Dark of the Sun,1968,Approved,03 Jul 1968,100 min,"British commando, Captain Curry, is hired by President Ubi of war-torn Congo, to steal $50 million in uncut diamonds from a time-locked vault before the separatist Simba army that's fighting Ubi's forces and the UN peacekeepers overruns the remote town where the bank that holds the vault is located. Curry teams up with his friend Ruffo, Doctor Wreid, who's an alcoholic, and Henlein, a sadistic Nazi who left Germany after WWII to work as a mercenary. The mercenaries reach the town by Ubi's train after surviving an attack from the UN peacekeepers, only to find a number of terrified Westerners who were driven out from their homes by force, including torture, rape and murder, by the Simba rebels. They agree to help them leave town and befriend one of them, a pretty widow called Claire whose husband was murdered by the rebels. As their mission nears completion everything suddenly goes horribly wrong and the story culminates in an orgy of sadistic graphic violence as Henlein betrays the group and the rebels arrive to brutalize and slaughter the whites. However, Curry still plans to complete his mission no matter what.",https://m.media-amazon.com/images/M/MV5BMjA3MDM4ZGMtNDcyNy00NTY2LWFjMzktNTg5YzM0ZWI1ZTVhXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.8,"3,636",tt0062863,N/A
Funny Girl,1968,G,19 Sep 1968,151 min,"Early twentieth century New York. Fanny Brice knows that she is a talented comedienne and singer. She also knows that she is not the beauty typical of the stage performers of the day, she with skinny legs and a crooked nose among other physical issues. So she knows she has to use whatever other means to get her break in show business, that break so that she can at least display her talents. With the help of Eddie Ryan who would become her friend, Fanny is able to get a part in a novelty act in a vaudeville show, the renown from which eventually comes to the attention of famed impresario Florenz Ziegfeld Jr. Fanny does become one of the Ziegfeld Follies most popular acts, despite she almost getting fired after her first performance by defying Flo's artistic vision for her closing number. Beyond stage success, Fanny also wants a happy personal life, most specifically with the suave Nicky Arnstein, a gambler in every respect of the word. Fanny loves him and loves that he loves her despite her lack of traditional beauty, but she does not love that he comes in and goes out of her life based on his financial standing at any given time and his need to earn that quick buck by the next poker game or high stakes business deal as he feels he needs to play the traditional role of money maker in their relationship on his own terms.",https://m.media-amazon.com/images/M/MV5BZjg4NTA3MTktNDRkMy00MjlhLTlmYTgtNWExY2ViN2QxMWJhXkEyXkFqcGc@._V1_SX300.jpg,89,7.4,"25,731",tt0062994,"$52,223,306"
Hippydrome Tiger,1968,G,30 Mar 1968,6 min,"Col. Rimfire tells his ""faithful robot elephant"", Ella, that he is determined once and for all to capture that troublesome tiger, Cool Cat. After Ella mistakingly points Rimfire to a rabbit, Rimfire discovers that Cool Cat has gone to Paris... namely to enter the Le Mans road race. Rimfire goes after Cool Cat with his rifle but the cat just calmly states, ""Get off my chariot!"" After sending Rimfire into the lake with a drop of oil on the track and returning a torpedo launched by the colonel to whence it came, the colonel and his elephant trap Cool Cat in his car but he escapes out the tailpipe followed by Rimfire. As a result, the elephant (being the only one left on the car), comes in first and is deemed a hero. Having lost the spotlight to an elephant, the cat agrees to let Rimfire continue chasing him!",https://m.media-amazon.com/images/M/MV5BNzVjMTAxNjQtYTkxZC00YjliLWI4OTAtMDIwZTIwYjE4MmVkXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.1,104,tt0063069,N/A
Tiger by the Tail,1970,M,01 Jan 1970,99 min,"Steve Michaelis, a Vietnam war hero is unjustly framed for the murder of his brother. He enlists the help of Rita Armstrong his socialite girlfriend to help him find the real killer.",https://m.media-amazon.com/images/M/MV5BZTVmZDRhOTctOTdlMS00MDVlLTlkNGMtMDZhZGI4YjEzMWU3XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.6,173,tt0063696,N/A
The Love Bug,1969,G,13 Mar 1969,108 min,"Meet Jim Douglas, a down-on-his-luck race car driver who lives in an old run-down fire house in San Francisco with his friend Tennessee Steinmetz, a occasional drunk mechanic. One day, Jim goes to a luxury car dealer and sees a strange Volkswagen Beetle with a unusual problem: it tends to drive on its own, as if it were sentient. The little Bug follows Jim home but Jim believes that the owner of the car dealership, Peter Thorndyke, is playing a trick on him. Jim decides to try out the car, and experiences its magical nature, fahrvergnügen, if you will, for himself. Jim repairs the little car and Tennessee names the him ""Herbie"". Behind the wheel of Herbie, Jim becomes more successful in racing. Thorndyke wants Herbie back, but Jim refuses and Thorndyke decides to race against him. Thorndyke sabotages Herbie before a big race known as the ""El Dorado"" - an obvious parody of the then-new ""Baja 1000"" race in Mexico. Jim and Tennessee along with Thorndyke's former assistant (and ex-girlfriend) Carol Bennett, repair Herbie before the El Dorado. The trio are determined to beat Thorndyke who will stop at nothing in order to gain a victory - and Herbie.",https://m.media-amazon.com/images/M/MV5BYTBiZDAwMDYtOGFhMy00Mzk3LThlZTktZTM1MzYxMWEzMDE4XkEyXkFqcGc@._V1_SX300.jpg,48,6.5,"17,949",tt0064603,"$51,264,000"
House of Dark Shadows,1970,PG,06 Mar 1971,97 min,"Young David Collins has gone missing from his home on the Collinwood Estate. While others try to find him - he in reality playing a prank in just hiding - incidents occur not only on the estate but in town, where some have been victimized by some unknown creature who has left a pair of puncture wounds in their neck. Those that have not survived have literally been drained of their blood by the creature. Following the start of these incidents, a long lost relative of the Collins from England, Barnabas Collins, arrives at the estate, the rest of the family knowing he being who he says he is by the uncanny resemblance to his namesake, who lived approximately one century ago and whose portrait hangs in the main house. Barnabas decides to stay in fixing up the old house on the estate with the help of Willie Loomis, who had just been fired by the family patriarch, Roger Collins. Barnabas' decision is strengthened when he finds a reason to stay in being able to complete something he was unable to do when he had been at Collinwood previously with Jacqueline DuPre. With the creature attacks continuing, speculation starts turning to the thought of a vampire being loose, Dr. Julia Hoffman, in examining the victims, believing she having a solution to stop the attacks for good. Her ulterior motive has some effect on what happens.",https://m.media-amazon.com/images/M/MV5BNjc5NzRiZTYtMjYwYy00ZGU4LTkwYWItMzE0YTg4NWFjNmUzXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,"3,520",tt0065856,N/A
A Love Story,1970,N/A,24 Apr 1970,115 min,"Two teenagers fall in love over the summer, in spite of cynical and disapproving adults who dismiss their relationship as being nothing but young love.",https://m.media-amazon.com/images/M/MV5BNmIxMjhiZjAtN2E5OC00ZmI4LWEwMGMtNjcyYjYzMjZlNDE5XkEyXkFqcGc@._V1_SX300.jpg,N/A,7.3,"7,731",tt0065955,N/A
Love Story,1970,PG,16 Dec 1970,100 min,"The love story of young adults Oliver Barrett IV and Jenny Cavilleri is told. Oliver comes from an extremely well off and old money New England family, the Barrett name which holds much gravitas and which is plastered especially all over Harvard where Oliver is in pre-law. Like those before him, he plans on attending Harvard Law School, which is not an issue in either the school not accepting him or he not wanting to attend. He has an extremely stiff relationship with his parents, especially his father, Oliver Barrett III, who loves his son in the old school way. Jenny, a music student at Radcliffe, comes from a working class Rhode Island background, she working her way through the program before she plans on going to Paris to further her studies. Unlike Oliver's relationship with his father, Jenny has a very casual one with her baker father, who she calls by his given name Phil. When Oliver and Jenny meet, there are immediate fireworks - she always with a quick quip to put him in his place - both of a good and bad kind, but they both quickly come to the realization that they are in love with each other. They have many obstacles to overcome in having a committed relationship, outwardly his father's disapproval of someone like her not being Barrett material being arguably the the biggest. However, other things that happen in the natural course of life and death may trump all.",https://m.media-amazon.com/images/M/MV5BMTc5YjEzZjItOWM2MC00NDA3LWFhMTctMWM0ZTk3NjgwMzc5XkEyXkFqcGc@._V1_SX300.jpg,84,6.9,"38,132",tt0066011,"$106,550,690"
Scratch a Tiger,1970,G,28 Jan 1970,7 min,N/A,https://m.media-amazon.com/images/M/MV5BMWU3ZWI2YWMtMTJlYi00ZjhkLWI3MDUtOWIyNGMyZWYyYWY2XkEyXkFqcGdeQXVyODUyMTkwOTg@._V1_SX300.jpg,N/A,6.1,42,tt0066343,N/A
Tiger Child,1970,N/A,15 Mar 1970,17 min,"Through the use of multi-image compositions and giant IMAX format full-frame shots, Tiger Child expresses a poetic vision of civilization at the dawn of the 1970s, filmed on locations around the world as a travelogue of the human spirit.",https://m.media-amazon.com/images/M/MV5BOGMxMGIyNGUtYjQyZS00MTJmLWI4ODUtOGJiYzdkNjRiZjA2XkEyXkFqcGdeQXVyNzI4MDMyMTU@._V1_SX300.jpg,N/A,5.6,16,tt0066456,N/A
Women in Love,1969,R,25 Mar 1970,131 min,"The battle of the sexes and relationships among the elite of Britain's industrial Midlands in the 1920s. Gerald Crich and Rupert Berkin are best friends who fall in love with a pair of sisters Gudrun, a sculptress and Ursula Brangwen, a schoolteacher. Rupert marries Ursula, Gerald begins a love affair with Gudrun, and the foursome embarks upon a Swiss honeymoon. But the relationships take markedly different directions, as Russell explores the nature of commitment and love. Rupert and Ursula learn to give themselves to each other. The more withdrawn Gerald cannot, finally, connect with the demanding and challenging Gudrun.",https://m.media-amazon.com/images/M/MV5BNjU1ZTY4NDgtOGNmOS00NzlkLTlkMmUtNWRiNjlkZGMwNWQ4XkEyXkFqcGc@._V1_SX300.jpg,N/A,7.1,"8,998",tt0066579,N/A
Kommissar X jagt die roten Tiger,1971,N/A,12 May 1972,89 min,"Captain Tom Rowland and Commissioner X are sent to smash the Red Tigers Gang,which is responsible for the smuggling of drugs from Afghanistan to US. Both come to Pakistan and do a joint operation with the help of Pakistani Agencies. SP.Ali and Jacky Clay joins the Commissioner X's team in Pakistan.",https://m.media-amazon.com/images/M/MV5BMDQ0YjMyZDktMDY4Zi00OWIwLTk1MDktMmIyYjc3Yjg4ZWRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAzMTc1NjE@._V1_SX300.jpg,N/A,5.4,88,tt0067310,N/A
Night of Dark Shadows,1971,PG,04 Aug 1971,95 min,"Recently married, Quentin and Tracy Collins have just moved into Collinwood, a New England estate that has long been in the Collins family and which Quentin has just inherited. They have invited their married friends, Alex and Claire Jenkins, who write horror novels together, to live in a cottage on the estate rent free. An artist, Quentin wants to find somewhere in the mansion to do his painting that will, among other things, give him some inspiration. The estate's humorless housekeeper Carlotta Drake, who comes from a long line of domestics serving the Collins family at Collinwood, directs him to the room in the tower. After his first trip to the tower room where he finds many other paintings, Quentin begins to see visions and have nightmares including that of a young woman hanging dead in a tree outside the mansion, and a young girl in another window of the mansion holding a doll. With further information from Carlotta about those visions and nightmares, Quentin may be placing especially Tracy's life at risk staying at the estate if he is to believe Carlotta. That may indeed be the case as his behavior becomes more erratic, like he is possessed.",https://m.media-amazon.com/images/M/MV5BYzQ4ZmU0YWMtYWVmZi00NDc1LTliM2QtZGM2ODZjOTYyOGJhXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.4,"1,864",tt0067491,N/A
Love in the Afternoon,1972,R,01 Sep 1972,97 min,"The last of Rohmer's Six Moral Tales. Frederic leads a bourgeois life; he is a partner in a small Paris office and is happily married to Helene, a teacher expecting her second child. In the afternoons, Frederic daydreams about other women, but has no intention of taking any action. One day, Chloe, who had been a mistress of an old friend, begins dropping by his office. They meet as friends, irregularly in the afternoons, till eventually Chloe decides to seduce Frederic, causing him a moral dilemma.",https://m.media-amazon.com/images/M/MV5BNDdjNGUxNjktNDczOS00OTYxLThhMDEtY2IyZmM5MDczY2EyXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.6,"9,646",tt0068205,N/A
Fritz the Cat,1972,Not Rated,14 Apr 1972,78 min,"The 1960s. Fed up with the monotonous college life and police repression, free-spirited Fritz, an impenitent seducer and unrestrained party-animal, decides to explore the world. And just like that, as he flees New York City, heading to San Francisco, Fritz embarks on an endless adventure of illumination. Now, immersed in a world surrounded by drugs and sex, Fritz takes part in mad orgies, brings about a revolution, incites mass urban riots, and crosses paths with drug-addled Nazi bikers. Will Fritz ever find what he's looking for?",https://m.media-amazon.com/images/M/MV5BMWY5MzJhZjMtMDc1Yy00ZDc2LWFhYmYtODA0MGNiYjdiZTcwXkEyXkFqcGc@._V1_SX300.jpg,54,6.2,"14,793",tt0068612,N/A
The Last House on the Left,1972,R,30 Aug 1972,84 min,"On the eve of her seventeenth birthday, Mari Collingwood tells her parents that she is going to the concert of underground band Bloodlust in New York with her friend Phyllis Stone. She borrows the family's car and heads with her friend to a dangerous neighborhood in the city. Meanwhile, the sadistic and cruel escapees Krug Stillo and Fred 'Weasel' Podowski are hidden in a hideout with their partners Sadie (Jeramie Rain) and Krug's addicted son Junior Stillo (Marc Sheffler) after killing two guards and one shepherd in their runaway. The two girls seek marijuana near the theater and meet Junior that offers some Colombian grass to them. They go to his apartment and are subdued by the criminals that rape Phyllis. On the next morning, they hide the girls in the trunk of their convertible and head to Canada. However, they have a problem with the car's rod and they stop on the road close to Mari's house. When Phyllis tries to escape, the gang stabs her to death and shots Mari after humiliating and raping them. They seek shelter in Mari's home, but during the night, her mother overhears a conversation of the criminals telling that they have killed her daughter. She tells her husband and they plot a scheme to revenge the death of their princess.",https://m.media-amazon.com/images/M/MV5BZGIxYTE2Y2QtODE5OS00YThiLThjMGYtOTI3NmY1ZDFkZThjXkEyXkFqcGc@._V1_SX300.jpg,68,5.8,"41,658",tt0068833,N/A
Dark Star,1974,G,17 Jan 1975,83 min,"A low budget, sci-fi satire that focuses on a group of scientists whose mission is to destroy unstable planets. 20 years into their mission, they have battle their alien mascot, that resembles a beach ball, as well as a ""sensitive"" and intelligent bombing device that starts to question the meaning of its existence.",https://m.media-amazon.com/images/M/MV5BMTE2N2Y2NDctNGFhYi00ZDA4LThkMzktMWUxOTJiMGJkYWNkXkEyXkFqcGc@._V1_SX300.jpg,66,6.2,"28,200",tt0069945,N/A
Sinner: The Secret Diary of a Nymphomaniac,1973,R,21 Jun 1973,87 min,"Linda Vargas picks up Ortiz in a bar where she works in a lesbian show with Maria Toledano. She seduces him, phones the police and kills herself. Ortiz is held on suspicion of her murder. Ortiz's wife, Rosa, visits a friend of Linda's, the Countess Anna de Monterey who tells her how Linda went into a spiral of sex and drugs after being assaulted by Ortiz as a young girl at a fair-ground. Linda became the Countess's lover, then had a disastrous love affair with Alberto, the Countess' boyfriend. Rosa also meets Maria, who holds Linda's diary, where she relates how a fake Doctor turned her away from drugs and into a nymphomaniac.",https://m.media-amazon.com/images/M/MV5BZTJmY2JhNDQtOGUwMC00NjMyLTk0YzEtMWZlNjg4ZGFjYzczXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.4,639,tt0069973,N/A
Don't Be Afraid of the Dark,1973,Unrated,10 Oct 1973,74 min,"A neurotic housewife named Sally and her business exec husband move into Sally's family house, a spooky two story Victorian mansion. When Sally starts the redecorating along with her pompous decorator she comes across a locked room in the house. After arguing with the handyman who insists she should leave the room locked, she finally gets the key. But once she opens her father's old study and has the bricks from the fireplace removed, strange things begin to happen. Sally begins to see small creatures everywhere, but no one will believe her. Her husband dismisses her as neurotic and her friend thinks Sally may be losing her mind. But things take a deadly serious turn when the decorator trips at the top of the stairs and falls to his death. Sally sees a rope lying across the place where he tripped, but when she picks it up to take it, a horrifying little creature pulls it from her grasp. Is she crazy? Or has Sally released demons in the house, demons her father summoned?",https://m.media-amazon.com/images/M/MV5BYmJhMmQ4MDktMzBjNi00NWYwLWFkNTEtMDI1MzY0MTAyZGFkXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.5,"4,206",tt0069992,N/A
Don't Look Now,1973,R,01 Jan 1974,110 min,"John and Laura Baxter are in Venice when they meet a pair of elderly sisters, one of whom claims to be psychic. She insists that she sees the spirit of the Baxters' daughter, who recently drowned. Laura is intrigued, but John resists the idea. He, however, seems to have his own psychic flashes, seeing their daughter walk the streets in her red cloak, as well as Laura and the sisters on a funeral gondola.",https://m.media-amazon.com/images/M/MV5BMTVlYjE0MjItZTRmZC00ZGM1LWIyNzMtYTMzZTViZGFlYzMxXkEyXkFqcGc@._V1_SX300.jpg,95,7.1,"65,411",tt0069995,N/A
A Man Called Tiger,1973,Not Rated,01 Jun 1981,113 min,"A young man, Chin Fu, suspects his father's suicide was actually a murder committed by gangsters. With his expertise in martial arts, Chin Fu is hired as a strong arm man by a rival gang of the gangsters whom he suspects are responsible for his father's death. His new- found connections with the underworld provide him with knowledge and opportunity to uncover the truth about his father's death.",https://m.media-amazon.com/images/M/MV5BMDEzNWZhYWUtZGZhZC00YTQ1LTg4Y2UtZTAzMjc2MGQ1ZjcyXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.1,124,tt0070301,N/A
Save the Tiger,1973,R,14 Feb 1973,100 min,"The film depicts a day and a half in Harry Stoner's life. Harry is down on his luck, and trapped in his own indulgences. He daydreams about his youth, trying to escape from the fact that business is rotten and his company owes bundles of money. His day is filled with unusual episodes as he picks up a hitchhiker/prostitute, arranges for his company's warehouse to burn down so he can collect the insurance-money, he hires strippers for his buddies and gets engaged in an animal rights campaign, a fashion show and experiences a rather uncomfortable flashback to the war.",https://m.media-amazon.com/images/M/MV5BMTk0Mzk2Y2YtZDQwNS00N2RiLWE2NjItNzMwZjc4YTU1MDEyXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.9,"5,758",tt0070640,N/A
Yellow-Faced Tiger,1974,R,01 Sep 1981,88 min,"A Chinese-American cop, skilled in martial arts, battles the most powerful criminal gang in San Francisco that is responsible for the death of his partner.",https://m.media-amazon.com/images/M/MV5BNjAyMDcyOTQtNGJkZi00OTNjLThiNmUtNTFjNzBiMGMyYzdhXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.3,790,tt0070705,N/A
Soylent Green,1973,PG,09 May 1973,97 min,"In 2022, Earth is overpopulated and totally polluted; the natural resources have been exhausted and the nourishment of the population is provided by Soylent Industries, a company that makes a food consisting of plankton from the oceans. In New York City, when Soylent's member of the board William R. Simonson is murdered apparently by a burglar at the Chelsea Towers West where he lives, efficient Detective Thorn is assigned to investigate the case with his partner Solomon ""Sol"" Roth. Thorn comes to the fancy apartment and meets Simonson's bodyguard Tab Fielding and the ""furniture"" (woman that is rented together with the flat) Shirl and the detective concludes that the executive was not victim of burglary but executed. Further, he finds that the Governor Santini and other powerful men want to disrupt and end Thorn's investigation. But Thorn continues his work and discovers a bizarre and disturbing secret of the ingredient used to manufacture Soylent Green.",https://m.media-amazon.com/images/M/MV5BNTE3YjIzZTAtMTdjNC00M2IxLWE5OGItMzEwYTI3Y2FlNjlkXkEyXkFqcGc@._V1_SX300.jpg,66,7.0,"72,375",tt0070723,N/A
The Screaming Tiger,1972,R,29 Dec 1972,101 min,"When the Japanese massacre the people of his fishing village, the Chinese hero of this Kung Fu epic (Jimmy Wang Yu) heads to Japan seeking vengeance.",https://m.media-amazon.com/images/M/MV5BOGU0MWM0YmQtNzlhOC00MDU5LTljNzAtOTA1MmY3MDU0NDI3XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.4,238,tt0070778,N/A
Heidi: A Girl of the Alps,1974,TV-G,06 Jan 1974,24 min,"This animation series follows the childhood ""adventures"" of a girl named Heidi, who lives with her grandfather somewhere on the Alps.",https://m.media-amazon.com/images/M/MV5BM2EyMzEwOGMtNTc3OC00NDgxLWIwNDEtM2JkOTNjZDBhNDVkXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.5,"6,274",tt0070968,
Little House on the Prairie,1974–1983,TV-PG,30 Mar 1974,1 min,"A long-running drama based upon the ""Little House"" series of books by Laura Ingalls Wilder, ""Little House on the Prairie"" follows the lives of the simple, farming Ingalls family: Charles, Caroline, Mary, Laura, Carrie and then Grace and the later adopted Albert, James and Cassandra, who settle into a quaint little house on the banks of Plum Creek near the small town of Walnut Grove during the late 1800s. Often narrated by Laura, the series follows her simple farm upbringing from her childhood until her adulthood with Almanzo Wilder with whom she starts a family of her own. While the series is based upon the Little House books (and thus the real life of author Laura Ingalls Wilder), it is a very loose adaptation, with mostly only key events and elements of fact surviving the transition from book to TV series, the most important being Mary's eventual blindness, and Laura's future. Several other fictitious (some factual) characters make up the friendly community of Walnut Grove, including teacher Miss Beadle (succeeded by two other teachers, then Laura, then Etta Plum), Dr. Hiram Baker, Rev. Robert Alden, Mr. Hanson (of the Hanson lumber mill), and the well-to-do Olesons, owners of the local mercantile, and also the primary rivals of the Ingalls family (except the Oleson patriarch). Family friends include the Edwards family, the Garvey family and the Carters, who, in the final season, move into the Ingalls' little house.",https://m.media-amazon.com/images/M/MV5BODZjMGRkZmMtYzRhMC00NTMyLTg4MjAtNGIxZTIzYjY0MjNmXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.5,"28,275",tt0071007,
Dark Places,1974,PG,01 May 1974,91 min,"After the original owner dies in a mental asylum, a man moves into an abandoned mansion with a sordid history. Meanwhile, a few locals conspire to steal a large amount of money, said to be hidden somewhere on the premises.",https://m.media-amazon.com/images/M/MV5BOGY3OWYzZjAtMjVjOC00ZTAyLWI2NDEtYjNhM2NlMjEwZTQ1XkEyXkFqcGc@._V1_SX300.jpg,N/A,5.8,"1,296",tt0071391,N/A
Lady Snowblood 2: Love Song of Vengeance,1974,Not Rated,15 Jun 1974,89 min,Lady Snowblood (Shurayuki-hime) is caught by the police and sentenced to death for her crimes (in Lady Snowblood I). As she is sent to the gallows she is rescued by the secret police who offer her a deal to assassinate some revolutionaries.,https://m.media-amazon.com/images/M/MV5BY2QwNThhZDAtYmU5My00ZDQyLTk5ZjMtNDk5YjFmODQ1MWQ1XkEyXkFqcGc@._V1_SX300.jpg,N/A,6.3,"4,408",tt0072157,N/A
